text,sentiment,source
@sjhamp12 'global warming isn't real',neutral,Dataset B
"@Sluttela not this year apparently, global warming kill us all",positive,Dataset B
Thank you global warming for giving us nice weather in November,neutral,Dataset B
pls don't tell my global warming isn't real when the high today is pushing 90 degrees Ã°Å¸â„¢Æ’,positive,Dataset B
In 4 days the most ambitious climate change agreement in history enters into force. Have you read... https://t.co/ndp1LS0Dmq,neutral,Dataset B
hmmmm climate change isn't real! https://t.co/HOp4UKaqaF,negative,Dataset B
"@OpChemtrails 
let's zero out climate change with Nature &amp; Agriculture instead #MOhempKenya snippetÃ¢â‚¬Â¦ https://t.co/3T3KN2IFnx",positive,Dataset B
Ã¢â‚¬Å“At the Intersection of Politics and EventsÃ¢â‚¬ï† -- Marine Corps U Journal publishes special issue on #climate changeÃ¢â‚¬Â¦ https://t.co/mnofJtrtXk,neutral,Dataset B
"Question 1: do u like smoking weed?
2: do you hate paying taxes?
3: do you think global warming is just a big ol hoÃ¢â‚¬Â¦ https://t.co/mm9j8hHUN2",neutral,Dataset B
"Niggas asked me what my inspiration was, I told'em global warming, you feel me? #cozy",neutral,Dataset B
It's 80 degrees on november first climate change is real we're in a drought the reef is dead bees are dying donald trump might be president,positive,Dataset B
@ddale8 That's a good one. Shouldn't he be out denying climate change?,positive,Dataset B
I don't know why people are happy over the fact it's 70 degrees out in November. It's called global warming.,positive,Dataset B
70's in November? I officially believe in global warming,positive,Dataset B
Exxon Mobil sued over climate change cover-up Ã¢Å¾Â¡Ã¯Â¸ï† by @c_m_dangelo https://t.co/YTsUYIJAJt via @HuffPostGreen Back #JILL &amp; support renewables,positive,Dataset B
"China criticizes Trump's plan to exit climate change pact... CHINA!! Dude?! 
https://t.co/FwO9Nq6IB4 @TheDailyEdge",positive,Dataset B
@CaseyNeistat Thoughts on #BeforetheFlood + global warming in the next #Vlog? ;-) https://t.co/4QGedkhEkW,neutral,Dataset B
if you don't believe in global warming now then I truly don't know what to tell you,positive,Dataset B
Centrica is a world leader for action on climate change https://t.co/gKyCvSKHhM | https://t.co/xgCuk25En6,positive,Dataset B
@YouTube @NatGeo @LeoDiCaprio He lectures poor Americans about climate change while leaving a million x bigger carbon footprint.,neutral,Dataset B
"Because if you are a denier of climate change, you are a denier of your own existence.",positive,Dataset B
So apparently what global warming means for me is spending a lot of time being furious that it's warm &amp; sunny #iwantFALL,neutral,Dataset B
Niggas asked me what my inspiration was i told em global warming,neutral,Dataset B
@LeoDiCaprio 's #BeforeTheFlood is such a masterpiece. Never knew so many things were associated with global warming.,positive,Dataset B
@ClimateReality Sorry. I don't believe in climate change. I think it's a big sham to get more tax dollars that should be going elsewhere.,negative,Dataset B
Who the fuck taught @WaltDisneyWorld to monopolize global warming... I'm spending $4.25 on a powerade to keep my ass alive in this heat,neutral,Dataset B
"@mtracey @DouthatNYT Instead they spent 6 years blocking all progress, denying global warming and attempting to nix the ACA, great job!!!!",positive,Dataset B
"Before the Flood is a documentary about climate change and global warming, narrated by Leo DiCaprio as UN's messenger of peace (not actor).",neutral,Dataset B
"#NoDAPL: Either @Potus doesn't actually believe in climate change, or he's willing to shelve it for big business. Think about it #Berners",positive,Dataset B
@_MrYezzir Minnesota?? I want fall weather not winter weatherÃ°Å¸Ëœâ€˜. This is global warming at its finest Ã°Å¸â€˜Å½Ã°Å¸ï†Â¾,neutral,Dataset B
"Retweeted Kholla Bashir (@bashir_kholla):

Worldwide people are much less concerned about climate change.... https://t.co/dsKKtrJegW",neutral,Dataset B
74 in November. s/o climate change,neutral,Dataset B
"The Chinese understand what's at stake here.

In rare move, China criticizes Trump plan to exit climate change pact https://t.co/eIsRC58Fom",positive,Dataset B
@lucas_gus_ was playing Christmas music at 12:01 AM. Well jokes on you Lucas it's 73 out rn and global warming is coming before Christmas,positive,Dataset B
"@diagstudio IÃ¢â‚¬â„¢m creating a new think tank for climate change, would you join and post your tweet also at https://t.co/u1UbQXLmrF ?",positive,Dataset B
"12 reports to read before the #climate summit | Climate Home - climate change news https://t.co/QsmVKv1T7k via @ClimateHome
#ActOnClimate",positive,Dataset B
I like how we're all just ignoring global warming lol Ã¢ËœÂ¹Ã¯Â¸ï† https://t.co/75a8aFwRfJ,neutral,Dataset B
An upside to climate change is that I'm wearing shorts and t-shirt on November 1.,neutral,Dataset B
Too bad this normally intelligent man believes that the world is ending due to global warming which is the fault ofÃ¢â‚¬Â¦ https://t.co/zOMadhWQ6J,negative,Dataset B
"So. The Green party candidate has endorsed a dude who says climate change is a hoax. Feel shame, Stein voters. https://t.co/wYIKemRUBh",positive,Dataset B
research analyst environmental and climate change programs: BS/BA with coursework in environmentalÃ¢â‚¬Â¦ https://t.co/MbHH3qY51T #ClimateChange,neutral,Dataset B
@reinccarnate like police brutality or global warming or animal endangerment. not something petty like a damn green cup.,positive,Dataset B
"Watch Before the Flood, an urgent call to arms about climate change https://t.co/nUSmPnmaog #misc #feedly",positive,Dataset B
I knew if it warmed up that someone would pull that climate change shit... Not saying it doesn't exist but come on,neutral,Dataset B
When the weather is 75 degrees+ in November but you're also worried about climate change. #climatechange #weatherÃ¢â‚¬Â¦ https://t.co/JMJ7lCnCZ0,positive,Dataset B
If you aren't watching Leonardo's documentary on climate change then wyd,neutral,Dataset B
Importance of climate change emergency prep work https://t.co/0KqhUtei3u,positive,Dataset B
You can watch Leonardo DiCaprio's climate change documentary right here #climatechange https://t.co/RBB8MHjA1O,neutral,Dataset B
Liberals changed the term 'global warming' to 'climate change'; because it didn't. Only a $ laundering for Plutocracy #PoliticallyReactive,negative,Dataset B
@JohnFromCranber @ByronYork @MZHemingway @FDRLST Trump has secret island where he is making climate change accelerator!,neutral,Dataset B
"#Wisconsin people, climate change is real Vote #democrat Stand against @PRyan and show him actions speak louder https://t.co/sic6JdCyTw",positive,Dataset B
"Government has failed 
'Australian business woefully unprepared for climate change post Paris agreement' #auspol https://t.co/FD6MZmKEKA",positive,Dataset B
"1999: you'll die due the Y2K Bug. 2008: ditto, climate change. 2016: all you own will be hacked. Not quite, say IÃ¢â‚¬Â¦ https://t.co/9pgFmFDhcE",negative,Dataset B
It's fucking November and I'm still in t shirts and track shorts. You can't tell me climate change isn't real.,positive,Dataset B
"I used to look the other way at climate change issues, till I had to pay attention. It's real and saddening. We are killing everything.",positive,Dataset B
"76 on November 1st? Fuck this shit if you don't think climate change is real, wake the fuck up",positive,Dataset B
Leo Dicaprio is seriously concerned about climate change. Except when Canne film festival is on. Then he's concerned about boats and pussy.,neutral,Dataset B
SPPI is a green advocate and helps in the preservation of more trees to help curb climate change. https://t.co/ClawMrUPJJ #exteriorpainters,positive,Dataset B
73 degrees on November 1st.. But global warming isn't real right?,positive,Dataset B
I do not understand how people still don't believe in climate change,positive,Dataset B
"@icouldbeannyone IÃ¢â‚¬â„¢m creating a new think tank for climate change, would you join and post your tweet also at https://t.co/u1UbQXLmrF ?",positive,Dataset B
Is climate change sexist? Ã°Å¸â€˜â‚¬ https://t.co/GamBF0ruDx,neutral,Dataset B
"@Sanchordia We really don't have time to play politics with climate change, we need to start hurrying it along.",positive,Dataset B
"RBReich: I'm often told that climate change is a middle-class issue, and the poor care more about jobs and wages. Ã¢â‚¬Â¦ https://t.co/mO14qf6ZbL",neutral,Dataset B
First day of November and the high was 88 degrees. Good thing climate change isn't real.,positive,Dataset B
@kkfla737 I don't think Rubio is gonna lose although I'm not afraid to say he doesn't have my vote. 2017 and still denying climate changeÃ°Å¸â€˜Å½,positive,Dataset B
"No, climate change is NOT a Ã¢â‚¬Ëœnatural cycle.Ã¢â‚¬â„¢ 
10 ways we can tell humans are affecting it: https://t.co/VXlRfpyi7u",positive,Dataset B
"v upset on this, the most beautiful day of 2016, because a) I didn't bring my camera to campus and b) climate change is terrifying",positive,Dataset B
Yo your mcm doesn't believe in climate change,neutral,Dataset B
We rly need to start listening to Leonardo DiCaprio because global warming is real &amp; happening like how tf is it 80 degrees in November,positive,Dataset B
What sparked global warming? People did. HereÃ¢â‚¬â„¢s how. https://t.co/hzWiFPmaGK,positive,Dataset B
Here's how to watch Leonardo DiCaprio's climate change documentary for free online https://t.co/lIvnxS6A1h https://t.co/blzMpQfaGs,neutral,Dataset B
"@Taniel @LVBurke The Russians did it - oh wait, is this when we blame global warming",negative,Dataset B
@lisa_alba Fact? I think #Geo #Engineering is mainly to try to get a grip of climate change personally,neutral,Dataset B
@JenniferGrayCNN @hm5131_massey Of course one candidate believes in the science of climate change the other dismisses it.,positive,Dataset B
@LeoDiCaprio Thanks for the great documentary on climate change. It really hit home! Please check out this project https://t.co/fUiwrUtDDA,positive,Dataset B
"It's November is Wisconsin and I just mowed my lawn. If this is a result of global warming, then we're on the right track!",neutral,Dataset B
I voted!!! Yes I voted for the crooked nasty evil one! Mostly because she believes global climate change is real. #imwithnasty,positive,Dataset B
"#ForeignPolicy spans from dealing with other nations on global issues like, energy and climate change to trade. #FP2016election",positive,Dataset B
happy november the high temperature is still in the 80s global warming is real and the natural progression of time means nothing,positive,Dataset B
"I certainly agree 2 the climate change argument, interconnectedness is not a threat.https://t.co/pOdpMWDubw,Ã¢â‚¬Â¦ https://t.co/SwSENORxsi",neutral,Dataset B
Oil &amp; gas as part of the solution to global warming: materials. Read https://t.co/rg5sqrlkfG,positive,Dataset B
@realDonaldTrump you need to believe in climate change! Do it and you have my vote. If not it's going to @HillaryClinton,positive,Dataset B
"In my opinion,climate change is nothing more than a way 2 remove our money from our pockets 4 their greeny projectsÃ¢â‚¬Â¦ https://t.co/uhlZaSzFmb",negative,Dataset B
@ABCNews re https://t.co/dRBFT1c8Zv why should we invest in retirement when there's a high chance we'll die young from climate change?,positive,Dataset B
"Asshole Leo dick-crappio made a climate change film(yawn). No one cares. Still, I put him on lifetime shunlist. https://t.co/LYYIJDsSD1",negative,Dataset B
I can't believe people actually believe climate change isn't real. Wow. We do deserve to become extinct.,positive,Dataset B
people touch the tippy top the the ice berg and think they can start global warming,neutral,Dataset B
@cathmckenna @COP22 @IISD_news more aviation fuel burned impacting the climate change hoax,negative,Dataset B
"Except this one chick who's watching that Leonardo DiCaprio documentary about climate change.
#Boo #NoChicagoPride #ScienceIsBad",neutral,Dataset B
But seriously. This episode was from 2000 and they were debating climate change. 16 years later and how is that stiÃ¢â‚¬Â¦ https://t.co/glzXLQqFGU,positive,Dataset B
"I'm just gonna put this out there.. If you don't believe in climate change or that racism doesn't exist, just unfollow me from life.",positive,Dataset B
@AchmarBinSchibi @anagama #DonaldTrump and #HillaryClinton need to get the message that the answer to global warming is not nuclear winter!Ã°Å¸Ëœâ€ ,positive,Dataset B
@SouthJerzMick global warming. Look up the origin - agenda 21 - 'one common enemy.',neutral,Dataset B
"@AQUILOGY took me a while to get to this, thanks so much. scary how 'climate change' has sort of lost its sexiness in the media meanwhile...",neutral,Dataset B
"@Karoli @morgfair @OsborneInk @dailykos 
Putin got to you too Jill ! 
Trump doesn't believe in climate change at all 
Thinks it's s hoax",neutral,Dataset B
"Guys, go watch National Geographic / L. DiCaprio's doc on climate change, Before the Flood. It's free so no excuses. https://t.co/sNqiOes2UL",positive,Dataset B
How do people argue climate change??,positive,Dataset B
"Standing Rock, climate change, bees becoming endangered, political corruption, &amp; ppl still would rather watch the Kardashians and be sheep.Ã°Å¸â€˜ï†",positive,Dataset B
Adapting to climate change a major challenge for forests https://t.co/SZkvzQfzhz,positive,Dataset B
climate change is the greatest issue facing our generation and world.,positive,Dataset B
Fuck you guys global warming is serious as hell.,positive,Dataset B
"@Nanas_Ranch @CNN 
No, it is when hell freezes over - climate change!",neutral,Dataset B
#climatechange - https://t.co/rR0F0xgLHD Here's how to watch Leonardo DiCaprio's climate change documentary for free online,neutral,Dataset B
#climatechange - https://t.co/yl8SoXJjpm Here's how to watch Leonardo DiCaprio's climate change documentary for free online,neutral,Dataset B
The blunt truth about the politics of climate change is that no country will want to sacrifice its economy in... https://t.co/QkmM5pUUOd,neutral,Dataset B
when i was a kid i always thought all star was about global warming,neutral,Dataset B
"@WorldfNature It is complete madness to think humans can alter climate change, King Canute tried, &amp; look what happened to him. GLUG, GLUG.",negative,Dataset B
@injculbard @martinstiff pretty sure I saw an article saying that we'd get more global warming after brexit. Maybe it was on a bus?,neutral,Dataset B
Overfishing could be the next problem for climate change https://t.co/FibMSv5D0P https://t.co/70waVsLZ1b,positive,Dataset B
"@washingtonpost Oh for Christ's sake, why not say border walls will make climate change worse? For cryin' out loud report on REAL NEWS?",neutral,Dataset B
Go Ahead : recognised by Carbon Disclosure Project for continuous improvement in tackling climate change //channels.feeddigest.com/news?id=Ã¢â‚¬Â¦,positive,Dataset B
"@madness1899 @wizardbird Proportionally, human sources climate change is enormous. Climate changing rapidly.",positive,Dataset B
@ScottAdamsSays Coal restrictions are via executive actions. Donald WILL undo Obama's actions. Horrible climate change. It's not Cog Diff.,positive,Dataset B
Badham favours workers (coal jobs) over climate change (too much fossil fuels) - 'jobs save nature' or some such bÃ¢â‚¬Â¦ https://t.co/V4JeXLDO8u,neutral,Dataset B
Ã¢â‚¬Â¢ Inhabitat: Watch Leonardo DiCaprio's riveting new climate change documentary 'Before TheÃ¢â‚¬Â¦ https://t.co/XuH1Hw8rMM,positive,Dataset B
"@djrothkopf Anybody who denies climate change, an existential threat to our society, is not qualified to lead at all at any social level.",positive,Dataset B
"Leonardo Dicaprio documentary on climate change is scary, we have all ruined earth Ã°Å¸â„¢Ë†",positive,Dataset B
Overfishing could be the next problem for climate change https://t.co/HkZf5rpPT3 via @Salon,positive,Dataset B
FT: Martin Wolf: That the US presidential campaign has unfolded without a focus on climate change is astounding https://t.co/7dc8fFPuho,positive,Dataset B
@BernieSanders says we MUST stop Dakota pipeline. @POTUS says we must 'reroute.' Who's got the better legacy on climate change? Your call!,positive,Dataset B
Before the Flood--Leonardo DiCaprio speaks to scientists &amp; world leaders about climate change https://t.co/x6Hy0p4gJf #climatechange,positive,Dataset B
New blog up about soil carbon sequestration as a climate change solution and vehicle for ecological restoration:Ã¢â‚¬Â¦ https://t.co/XP7njAFbQz,neutral,Dataset B
@LeoDiCaprio's passion for the environment &amp; changing climate change has always inspired me #watch #beforethefloodÃ¢â‚¬Â¦ https://t.co/hAZW9DIkM1,positive,Dataset B
$V #TreeH:Here's one effective solution to climate change: Put a price on carbon. https://t.co/S2T7O5IPBT https://t.co/HLJfx8XYkO,positive,Dataset B
"@CNN 20)Unchecked climate change &amp; a future where they may starve, lacking water and food.",positive,Dataset B
93% of all climate change studies support the claim that the earth's climate is warming at an alarming rate. 93%,positive,Dataset B
The effects of climate change are all around us if youÃ¢â‚¬â„¢re only willing to open your eyes.' https://t.co/W9prMbRFra via @CC_Yale,positive,Dataset B
"they asked what my inspiration was, I told em global warming.",neutral,Dataset B
"Check out the new documentary at @NatGeo's youtube channel: Before the Flood. On climate change, with @LeoDiCaprio https://t.co/2SailYFiy4",positive,Dataset B
"Finally done with the UNCC: Introductory E-Course on climate change.
Thanks @UNITAR @uncclearn @ClimatEducate",neutral,Dataset B
Kinda makes you think that the goal of enviros isn't really to fight climate change. https://t.co/nEgtePq1zh,neutral,Dataset B
A. Lammel @UnivParis8 on the contribution of local knowledge to understand the global character of climate changeÃ¢â‚¬Â¦ https://t.co/yUDXTvygEW,neutral,Dataset B
good morning everyone except not those annoying orange climate change ppl,negative,Dataset B
12 #globalgoals are directly linked to climate change. The #ParisAgreement is... https://t.co/ExW7IJ5Pvm by #ClimateReality via @c0nvey,positive,Dataset B
12 #globalgoals are directly linked to climate change. The #ParisAgreement is... https://t.co/dn9pZaGIau by #ClimateReality via @c0nvey,positive,Dataset B
@azadi_mp3 global warming has actually been calm we're still at like 12 degree weather everyday,neutral,Dataset B
The Vita Green Impact Fund is exactly the right investment vehicle for #SDGs &amp; climate change mitigation https://t.co/FgvujJdfjU,positive,Dataset B
Some clear and concise info on climate change. https://t.co/0VHWlg73uD,positive,Dataset B
cold weather is my time to shine and global warming is really messing that up for me.,neutral,Dataset B
@drshow @AmyAHarder @chriscmooney @surveyfunk why do we project what climate change will look like 30 years from now? Why not 1 year?,neutral,Dataset B
@Grant_Hall3 member before global warming?,neutral,Dataset B
"I feel like ending world hunger, saving animals from extinction, solving our climate change problem, and reforming our judicial system today",positive,Dataset B
Clinton: I believe in science. I believe that climate change is real. (Convention speech) https://t.co/LsjgmOe0Cu,neutral,Dataset B
@Firegal_01 hate to burst your bubble but man made climate change ain't real and the environments doing just fine.,negative,Dataset B
I just joined @NatGeoChannel @21CF in combating climate change. Take action #BeforeTheFlood https://t.co/FQTRmp06h5,positive,Dataset B
More fiddled global warming data: US has actually been cooling since the Thirties https://t.co/GhvCHV3BQH #tcot #teaparty #pjnet #nra #p2,negative,Dataset B
There's gotta be at least a 70% correlation between who's wearing sweatpants on campus right now and who believes climate change is a myth,neutral,Dataset B
"@PatVPeters ..........and farting is the blame for global warming, jack a$$...I don't believe in global warming...just so you know!",negative,Dataset B
"Keep in mind it's November and it's the Midwest. You, know, that climate change thing. The one that's not a Chinese hoax. Ã°Å¸â„¢â€ž",positive,Dataset B
"From college affordability to climate change, 'Hillary ClintonÃ¢â‚¬â„¢s values are Millennial values.' https://t.co/snFPOoDIN4",positive,Dataset B
"It took 89 degree temperature in November and ocean reefs to die for y'all to realize global warming does,in fact, exist.",positive,Dataset B
It's the beginning of November n I'm wearing jeans n a t shirt n sweating but y'all still think global warming doesn't exist Ã°Å¸ï†Â¸Ã¢Ëœâ€¢Ã¯Â¸ï†,positive,Dataset B
I just joined @NatGeoChannel @21CF in combating climate change. Take action #BeforeTheFlood https://t.co/VC5qFJMxje,positive,Dataset B
Talk about climate change! https://t.co/H2xHYcgcJI,positive,Dataset B
So we do our own thing. We will be the generation that provides the most jobs while also being aware of the wealth gap and climate change,positive,Dataset B
@_BabyKhai In all seriousness. Them hoes adapting and it's not hard for them because of global warming Ã°Å¸ËœÂ­Ã°Å¸Ëœâ€š,neutral,Dataset B
@ZanerBurr0522 'global warming is a hoax by the Chinese government',neutral,Dataset B
Former BSF grantee Dr. Doron Holland has developed a fruitful way to combat climate change. https://t.co/ekhCoAP26C,positive,Dataset B
"Effects of climate change, fourth water revolution is upon us now https://t.co/ygdqaGipc0 https://t.co/V8wnWzI5H7",positive,Dataset B
@helenhuanggg @joyceala it's a waste of wood and causes global warming tho. Killing trees for no reason,positive,Dataset B
"sorrow and misery, climate change, instable financial systems, ... - something is going wrong #world",positive,Dataset B
republicans on global warming: https://t.co/seYNjKF0SU,neutral,Dataset B
"Out here in short sleeves in November, global warming is pretty great so far",neutral,Dataset B
This may not be 1) the best use of taxpayer funds or 2) at all effective for combating climate change https://t.co/ZFQlcFTksx,positive,Dataset B
"@sierraclub No poltician can solve the inferior tech issue of climate change using a different, yet clean inferiorÃ¢â‚¬Â¦ https://t.co/J8HpSJrCJt",positive,Dataset B
@RealBobMortimer I blame global warming :s,neutral,Dataset B
@crabtrem Yes! Imagine all the money wasted. Trump's plan to ditch payments for climate change will save us billions!!,negative,Dataset B
@katehumble That bear is doomed if #ArcticLive refuses to reveal livestock industry as climate change culprit &amp; present veganism as solution,positive,Dataset B
The climate change racket has lost force #podestaemails26 https://t.co/xFi6crATGx,neutral,Dataset B
@johnhasey If you are one of many that don't even believe in global warming then honestly get ur head in the game its obviously real,positive,Dataset B
@ConnorDukeSmith climate change is fake #iamright,negative,Dataset B
"@MoveOn @K_JeanPierre

'Denies climate change?' I don't know a SINGLE person who 'denies' changes...

ITS THE MANMADE PART WE DENY YOU IDIOT",negative,Dataset B
Say what you want but he'll definitely take care of global warming... via /r/funny https://t.co/vdNOTmGx2W,neutral,Dataset B
Just watched Leonardo DiCaprio's excellent and eye-opening documentary on climate change entitled 'Before The... https://t.co/n6UQmRfZHX,positive,Dataset B
@danosbelt trump said climate change does not exist. You just contradicted yourself. Clean environment means no coal/oil/fracking,positive,Dataset B
"please stfu, global warming isn't real https://t.co/fL7oxvVSmq",negative,Dataset B
"Just had one of strange, terrifying reveries you have whenever you read anything at all about climate change. Lord, we are fucked.",positive,Dataset B
"@jacobmcCall3 IÃ¢â‚¬â„¢m creating a new think tank for climate change, would you join and post your tweet also at https://t.co/u1UbQXLmrF ?",positive,Dataset B
I just joined @NatGeoChannel @21CF in combating climate change. Take action #BeforeTheFlood https://t.co/UsYkte8nKU,positive,Dataset B
"POTUS Trump can take care of climate change Hillary I mean after all if he can take care of U, the Devils spawn, whÃ¢â‚¬Â¦ https://t.co/Bqgsk9kzjv",neutral,Dataset B
"Some customer: The weather outside is so weird!! It's hot!!
Me: yeah, climate change has affected us 
Them: Maybe

The fuck?? Maybe?? No BIH",positive,Dataset B
"Niggas asked me what my inspiration was, I told em global warming, you feel me? #Cozy",neutral,Dataset B
"#BeyondtheFlood an apathetic attitude toward climate change, will destroy the future of our planet!",positive,Dataset B
@stephensackur can you interview more climate change profiles.Just watched before the flood @LeoDiCaprio @YouTube government needs to act!,positive,Dataset B
"We could have the absolute solution to any problem; to end hunger, climate change, but in the wrong hands, we'd make the same mistakes.",positive,Dataset B
I just joined @NatGeoChannel @21CF in combating climate change. Take action #BeforeTheFlood https://t.co/iH7nDgh3pc,positive,Dataset B
Clown preaches fear from the altar of man-made global warming: https://t.co/JhoNOLPXKg #climate,negative,Dataset B
if taking an env geography class has done one thing for me it has allowed me to shitpost more efficiently in /pol/ climate change threads,neutral,Dataset B
@Tyguylf4 mine knows global warming is a figment of the liberal media,negative,Dataset B
"@GiFlyBike IÃ¢â‚¬â„¢m creating a new think tank for climate change, would you join and post your tweet also at https://t.co/u1UbQXLmrF ?",positive,Dataset B
@AUSpur that's what we say to make fun of those who say global warming is BS when we have a big snow storm bro,positive,Dataset B
Cartoon: If the media covered climate change the way it covers Hillary's email https://t.co/SjzTuoGEVJ,positive,Dataset B
"There is no such thing as climate change, it's just weather. And the moon is obviously bigger than Jupiter! #science https://t.co/vxhSHryQpC",positive,Dataset B
"@nikkibot
WS-fuck? Trump-fuck? global warming-fuck?",neutral,Dataset B
"I just joined @NatGeoChannel @21CF in combating climate change. Take action #BeforeTheFlood
https://t.co/NGGY8jVtVC",positive,Dataset B
I just joined @NatGeoChannel @21CF in combating climate change. Take action #BeforeTheFlood https://t.co/f6y1fCqFmw,positive,Dataset B
We are on the brink of environmental calamity and one candidate puts climate change in scare quotes. All you need to decide. #voterfraud,positive,Dataset B
I just joined @NatGeoChannel @21CF in combating climate change. Take action #BeforeTheFlood https://t.co/y2AvcGqy11,positive,Dataset B
If you don't believe global warming is a real thing please explain to me why we have 80 degrees days in November,positive,Dataset B
@benshapiro to really make it global warming you need to mention how it's the worse rain in years,neutral,Dataset B
"I just joined @NatGeoChannel @21CF in combating climate change. Take action #BeforeTheFlood
https://t.co/1ipV7kcdy5",positive,Dataset B
@JayKraft Blamed global warming for the World SEries rain delay.,neutral,Dataset B
RadioAnswer: What are they smoking? Green Party blames World Series rain delay on global warming Ã¢â‚¬Â¦ https://t.co/mZDqPqnov4,negative,Dataset B
"Mereka, borjuis, dengan konsumsi tumpah ruah, mobil pribadi dengan AC dingin, kamar dingin, mungkin tdk trll mrskn efek climate change.",neutral,Dataset B
@Rachel__Nichols global warming,neutral,Dataset B
"NEWS PAPER HEADLINE:

Chicago Cubs being celebrated as heroes after reversing climate change by making hell freeze over.",neutral,Dataset B
"Lol 'climate change is serious guys'

Do something about it",positive,Dataset B
Tinder that this drought is over does not mean the ACTUAL DROUGHT from global climate change is over,positive,Dataset B
@FoxNews I'm sure Goodell will blame global warming.,negative,Dataset B
"The Chicago Cubs won the World Series, but global warming is still happening, so",neutral,Dataset B
I just joined @NatGeoChannel @21CF in combating climate change. Take action #BeforeTheFlood https://t.co/wTCTJoOdgB,positive,Dataset B
I just joined @NatGeoChannel @21CF in combating climate change. Take action #BeforeTheFlood https://t.co/9Pt0BmDfNl,positive,Dataset B
"Right now, I'm contributing to global warming. 

I should stop",neutral,Dataset B
@itisprashanth nee Enna ramanan sir eh ?? Dae naayae unaku Enna theriyum climate change pathi ??? Daily firstu Nee kuli,neutral,Dataset B
These global warming crackpots have lost it! Join us &amp; enlist at https://t.co/cwjCGbkHRv. Patriot central awaits. https://t.co/5LLskkhuy4,negative,Dataset B
Differences in climate change #GHToday,neutral,Dataset B
Fatih Birol #NYTEnergy '. 2/3 if the climate change will have to come from the energy sector @GE_France @GE_Europe https://t.co/cvLVhHyN1r,neutral,Dataset B
@charleshernick @AmericanCRs A former Independent whose debut interview declares 'Reagan is out' and a moderate for climate change?,neutral,Dataset B
I just joined @NatGeoChannel @21CF in combating climate change. Take action #BeforeTheFlood https://t.co/Sj2QZgVjx5,positive,Dataset B
"I just joined @NatGeoChannel @21CF in combating climate change. Take action #BeforeTheFlood
https://t.co/8HQmzaAXIx",positive,Dataset B
Human-caused global warming contributed strongly to record 'snow drought' across the westernmost U.S. in 2015 https://t.co/cwjgE8FGvc,positive,Dataset B
Leonardo DiCaprio's fantastic new documentary on climate change is now free (legally) to watch https://t.co/gZ3ASSuD6e,positive,Dataset B
#SelfSufficient Human-caused global warming contributed strongly to record 'snow dr.. https://t.co/FIYvOnYrVY https://t.co/Lp2oWkz59L,positive,Dataset B
Mr Trump has called global warming a Chinese hoax to thwart business. Mrs ClintonÃ¢â‚¬Â¦ https://t.co/wFwCxBVquS https://t.co/U95IMjrDPj,neutral,Dataset B
Do you know that how #climate change can effect your surroundings ? https://t.co/aO88Rhve6S,neutral,Dataset B
"Stoving carbon in soils of crop, grazing &amp; rangelands offers ag's highest potedtial source of climate change mitigation.",positive,Dataset B
"With ongoing climate change, expect more warm falls and winters in the future. https://t.co/iYn6wIBu9M",positive,Dataset B
"@DemocracyNow Correct!!!
How many ideas on combating climate change been offered from either of these poor candidates?
Neither Dares Address",positive,Dataset B
@JohnAvlon @thedailybeast I don't know. Could it be climate change?,neutral,Dataset B
Wait what about global warming? https://t.co/8URjzCCsEJ,negative,Dataset B
"We don't have the liberty, or the time to debate climate change.' 'Before The Flood' has its flaws, but it is still extremely important.",positive,Dataset B
What are they smoking? Green Party blames World Series rain delay on global warming https://t.co/OEPjDMdgp2 via @twitchyteam #climatecon,negative,Dataset B
Ship made a voyage that would not have happened without global warming https://t.co/UvbnslF9Ph https://t.co/CYSu2r4Rmn,positive,Dataset B
Ship made a voyage that would not have happened without global warming https://t.co/iEXaIoNZpc https://t.co/evqeEDF3cV,positive,Dataset B
Weather Channel video uses young kids to promote Ã¢â‚¬Ëœglobal warmingÃ¢â‚¬â„¢ fear mongering https://t.co/jHUn0hkE4N https://t.co/LFzn3VKokO,negative,Dataset B
Ship made a voyage that would not have happened without global warming https://t.co/hNw1yhhOtB https://t.co/AYWUSE7GH9,positive,Dataset B
@jonathanchait You are supposed to call it climate change- get with the program,neutral,Dataset B
#CWParis https://t.co/a0F9709CTr Take a look at what else the climate change protesters in Copenhagen are promoting.,neutral,Dataset B
"This is where changing the term 'global warming' into 'climate change' is helpful. So, CO2 causes colder winters .Ã¢â‚¬Â¦ https://t.co/garMnnSjzh",positive,Dataset B
"daily reminder that air pollution kills over 6 mil a year, global warming will kill millions, and trump has vowed to rip up paris agreement",positive,Dataset B
"Want to stop climate change, @UWM? See #BeforeTheFlood at your University... https://t.co/TtCY3ww5ck by #LeoDiCaprio via @c0nvey",positive,Dataset B
Leo DiCaprio's new film 'Before the Flood' is a sweeping look at climate change | MNN - Mother Nature Network https://t.co/o9Wt7ceKcV,positive,Dataset B
"When China calls out Donald Trump on climate change, you know itÃ¢â‚¬â„¢s bad https://t.co/ukXyPvuvJf",positive,Dataset B
Watch Before the Flood @NatGeoChannel @LeoDiCaprio travels the world to tackle climate change https://t.co/c1G2lKhaiN @YouTube,positive,Dataset B
The world's best effort to curb global warming probably won't prevent catastrophe https://t.co/5gfWcW9Nc7 https://t.co/8Xgel37cli,positive,Dataset B
